Komen,Klasifikasi
gisel tetap semangat yha... semua orang pasti punya masa lalu yg kelam tapi jangan sampai membuat drop.. tetap semangat,0
"semua org punya masa lalu yg kelam, sudah bagus dia bisa bangkit untuk merubahnya..",0
"Klo kalian teringat cukup diam aja dlm hati, jempol gk usah gatal berasa paling suci aja kalian niih",0
skrng dinar agak beda yaa lebih cntik gitu loh,0
"gua jdi ingat ceramah, ktanya biar ahli ibadah atwpun ustad katanya susah utk masuk surga klw anak mengumbar aurat, tp entahlah apa btul itu smua",0
dulu ibu kku prnh blg cara pakaian mu akan menentukan sebesar apa cinta km sma bpk mu,0
cahya biar gaya apa aja ttp cantik natural,0
"Pernah ketemu ka dinar di paragon smrg, gue sm temen berempat panggil dia eh dia mau gabung dong sm kita ih baik bgt",0
gmess bget lah kk satu ni.sehat selalu yaa kk ,0
kak aku di bali. aku sukak suara kakak. semangat kak,0
sumpah kk aku pens banget sama kk,0
cantik bnget si cici denis,0
kan bener kan dia cakep kan ,0
eh sumpah lucu bgt,0
Denis mau pakai baju apa aja tetep cantik dasarnya udah cakep,0
"Thank you dah datang ke bali , supaya ekonomi cepat bangkit lagi",0
Denis itu sebenerny baik hati dan cantik cerfdas semangat ka denis,0
cupi ini sbnrnya cntik bngt..coba trtutup sdkit ya cantik biar cntiknya qm mkin smpurna,0
ntahlah dri dlu ngefans bgt sma teh cupi,0
sukses terus kak cupi. salam dr Lampung kak,0
wow sempurna cantiknya,0
andai kaya raya pasti...,0
cantik sihh tp udh GK klyatan lg cantiknya krna terlalu terbuka kalo pgen nikah ajh lh mbk GK usah d pmerin truss malu dikit donk sbg perempuan,0
pengen di sapa ya Allah sama kakak cantik,0
jaga mata kalian,0
mantap betul,0
aku pernh ketemu dia 1x & sopan kok orangnya baik dia tegur aku..& sekrng jadi terkenal sebelum terkenal pun sudah baik & cantik,0
kk cupita cantik banget kayak orang yang getik sama kayak kk cupita ,0
mbk cantik tp LBH cantik kalau mbk menutupi aurat mbk,0
makin cantik aj mbak,0
keren cntiik,0
aku suka gayamu,0
mantap jiwa,0
keren ,0
hallo ka cupita,0
assalamu'alaikum Kak Boleh kenal jadi teman kamu,0
hei jaga dikit etikanya,0
mantul..,0
sesuatu yang berlebihan itu tidak baik,0
semoga sukses dan sehat selalu kak Cupi,0
semoga sukses selalu untuk selamanya ,0
ngefans bgt,0
sukak aja SM ka Cupi wlwpun bnyak netizen resee dia itu cantik lohh....,0
ak suka liat cimoy ini. kece,0
trnyata bner ya berlebihan itu tidak baik kecuali duwit,0
cimoy kok sekarang kayak gini dulu aja ditutup aurat nya sekarang di lepas,0
"salam maulidur rasul . ingat ya cantik , nabi sd berusaha meletakkan drjat prmpuan stinggi2nya , jgn snang2 jatuhkan ya . smoga beristiqomah ??",0
"emang ka ayu nggak se kaya Nagita,tapi ka ayu selalu tampil apa adanya,ga pernah pamer kemewahannya itulah ka ayu",0
Sehat terus yaa idolakuhh teh,0
"gua gak peduli yg lain,,, yg pasti ayu memang sangat cantik",0
semangat ayu.... semoga dapat pendamping yang baik yang lebih dari rafiii...supaya nggak di kait2kan terus sama nagita dan Ravi yahhh,0
berjuang dari nol. aku bangga perjuanganmu. hasil keringat sendiri. semangat ATT cantik,0
ayu cantik emang kaya juga yg tau hanya Allah lah,0
"ayu nyaris hampir gk perduli dg semua hujatan netizen utknya.. kecuali yg nyenggol anak dn keluarganya, dia wanita kuat yg jatuh bangun dg semangatnya",0
Astagfirullah apa untungnya sih kalian2 yg menghina Att dan menjungjung tinggi kel. andara...dikasih apa sama mereka itu...knp gk komen yg adem2 ,0
"tuch kan ayu klo joget sll pas klo bikin tiktok sll totalitas,itu klo mnrtku gak tau Mnrt kalian",0
"bukan fans ayu ato nagita. cuma miris liat komenan netijen yg Maha Benar dengan segala Kebenarannya yg mbanding""in ayu dgn nagita. padahal udah jelas,",0
"syantik bgt, perempuan tangguh, bertalenta, besar karena prestasi",0
"setiap org pnya nasib dn takdir sndiri2, kenapa hrs dibandingkan satu sm lain???",0
att adalah orang sukses yg mulai dr nol berjuang demi keluarga bukan berharta karena orang tuanya,0
"sehat terus kak ayu,, bisa""nya aku fans bgt sm kk ayu,, dahlah teruntuk Klian yg ga suka cukup skip aja,, Lo bangga""in yg sebelah,dapet ape lu ngab",0
"Mau gaya gimna pun ,pake bju apa pun..kak ayu ttp cantik no debat ",0
"tp salut sama ayu,,sukses krn hasil kerja kerasnya mulai dari nol,,jaga anak ttp keluarganya yg asuh gk pake baby sitter",0
Ayu memang cantik dr sono nya..tambah make up natural aja..wooowww,0
Masa lalu kt hmpir sma..smngat dn krj kras kt sma nsib cintap hmpir sm yg bda cm dompet kita ATT terbuat dr kulit buaya asli tp dmpetku dr kulit mantan,0
Bang Tolong dibuat Channel yg dikelolah secara Serius/profesional utk memperkenalkan di YouTube... Maaf bang...ini saran yg harus disegerakan..,0
semoga selalu dalam lindungan  Allah Swt.Amiin,0
Salam dari bekasi pak anis baswedan..  Semoga selalu  dalam  lindungan  allah swt.. Aamiin,0
Assalamu'alaikum pak.. Kjp plus SMP tahap 2 .. Kenapa blm keluar ya.. Padahal kami sangat butuh buat beli buku  Terima kasih,0
Sebagai apresiasi bagi yg menggugat...jadikan mereka sebagai duta kampanye udara bersih ..pak anis,0
Gubernur dengan logic yg sangat bagus,0
"Allahuakbar,Aamiin y Allah,BPK Gubernur ttp Amanah dan Istiqomah,mudah2an BPK ttp dlm lindungan Allah,senantiasa lindungi warganya ,",0
warga juga kudu wajib ikut serta misal kalau motor udah ngobos (udah low compression) buru buru dah servis jangan dipaksain nambah nambah polusi aje,0
"Pak Anies Baswedan... Peminpin cerdas, amanah, santun dan bekerja nyata untuk rakyat.. Nggak pakek pencitraan, marah-marah atau nangis-nangis. . Tetap santun dalam berucap... Ramah dan dekat dengan rakyatnya..",0
Wuih kereeeen.... Begini pemimpin keren menanggapi kritikan. Bravo!,0
"Assalamualaikum pak gimana ya cara tuk dapat bantuan betulkan rumah hampir roboh, saya asli DKI...",0
Sabar untuk hadapi semua nya ....demi keberhasilan cita-cita kita semuanya untuk ANIES Baswedan For RI-1 2024,0
Pak tolong dong Pluit kebanjiran kapan mau di Tanggulangin,0
Terimakasih pak Gubernur. Aku dan Putriku kelahiran DKI Jakarta,0
"Terbaik Tuan Anies Baswedan, sama2 kite melestarikan bumi bersama, salam dari Malaysia????",0
Beda ya kalau mantan aktivis jadi Pejabat. Top,0
Pak gubernur saya dukung anda  untuk menjadi Presiden di tahun 2024,0
Harus siap naik Kendaraan umum atau naik kendaraan pribadi tanpa mesin berbahan bakar minyak...,0
"Subahanallah ,, mendengar bapak berpidato saya merasa bahwa bapak emg pemimpin yg tulus dalam mengurus jakarta beserta warga nya , terasa sedih , dan kerugian besar bagi Jakarta dan warga nya ketika bapak harus terbentur tidak jdi gubernur lagi di 2022 , saya ajah mau nangis",0
"Salah satu yg berkontribusi adalah pembakaran sampah dan bau sampah yg sangat dominan, kami punya solusi agar sampah tidak lg dibakar dan tidak lagi berbau, E12 Bioteknologi Fermentasi hasil penemuan putra bangsa utk sollusi tersebut",0
Penyebar Polusi udaranya adalah Tukang sate sama ayam bakar...,0
Jadi ada baik jg keputusan pengadilan ini sehingga utk masa kedepan dki harus lebih menjaga lingkungannya.Semoga kota2 lain yg lingkungannya jg mengalami polusi hrs juga disomasi.Betul2 pelajaran jg bagi kota2 lainnya di Indonedia,0
"Sungguh bijaksana, tak ada yang dipersalahkan atas gugatan ini ...",0
"Luar biasa, sangat inspiratif. Dan semoga niatan baik ini menjadi angin segar bagi banyak orang. Salam sehat, Jaya selalu pak Anis~",0
Assalamualaikum wr.wb izin kan saya pak berdoa untuk keselamatan bapak gua kagak mau bapak gebenur anis baswedan celaka semoga bapak anis baswedan di beri kesehatan dan perlindungan olehmu allah swt  yang teguh pak jadi gubernur dki jakarta sangat berat  tantangannya semoga jakarta menjadi orang yang seperti dulu bisa mengetahui mana yang salah dan mana yang benar gue doakan bapak anis baswedan bin adam supaya bapak anis sehat dan sukses selalu buat bapak I love you pak anis gue orang Palembang yang bisa bahasa jakarta  doa untuk bapak,0
Semoga Pak Anies Allah beri petunjuk untuk dapat mengambil momentum untuk kemenangan Bangsa Indonesia untuk menjadi merdeka sesungguhnya...,0
Sehat dan bahagia sllu Pak Anis Baswedan Gubernurku..,0
Allahu Akbar!! 76 tahun Republik Indonesia Indonesia Tangguh dan Indonesia Tumbuh juga Indonesia Maju semangat agar Pandemi Covid-19 segera usai dan cepat berlalu supaya ekonomi pulih dan stabil ????,0
Wa'alaikumussalam.. Semoga Sehat n selalu dalam lindungan Allah Subhanahuwata'alah.. Aamiin Allahumma Aamiin,0
Masya Allah... Menggelar keadilan sosial dan kesejahteraan bagi bangsa Indonesia,0
"Assalamualaikum wr.wb.

Maaf Pak Gubenur, saya salah satu warga Kota Depok ingin bertanya soal kapan akan di lakukan normalisasi sungai ciliwung di Kota Depok Pak Gubenur, karena rumah sekitar saya dekat dengan aliran sungai ciliwung Pak Gubenur, dan sangat curam menurun jika air hujan mengakibatkan banjir besar suka terdengar suaranya pak, serta jika hujan turun tetangga yang yang paling dekat sungai suka keluar rumah untuk berjaga-jaga jika takutnya air hujan dan banjir bisa berdampak ke lereng permukaan tanah di pinggiran yang di akibatkan oleh derasnya hujan bisa berakibat longsor dan musibah bagi warga dan takutnya korban jiwa Pak Gubernur.

Tolong, untuk segera memberikan perintah kepada kepala daerah untuk segera melakukan normalisasi sungai ciliwung pak, karena saya serta warga dekat rumah saya disini juga ingin pindah ke tempat lain untuk memulai hidup baru dan usaha dari normalisasi, jika di lakukan tahun ini atau tahun depan, mereka sudah siap menerimanya Pak Gubernur.

Mohon maaf jika ada salah kata dalam ucapan saya kepada Pak Anis Baswedan dalam menyampaikan keluhan ini.

Terimakasih, assalamualaikum",0
"Semoga Allah slalu memberikan kesehatan  keselamatan terus buat Bapak Anis... AAMIIN
...",0
"Hebat pa Anis,...
Buktikan pada masyarakat Indonesia khususnya masyarakat Jakarta bahwa formula E penting dan harus tetep dilaksanakan,...
Jangan takut diinterflasi DPR katakan pada mereka pentingnya formula E,..
MERDEKA!!",0
"Dirgahayu republik Indonesia ke 76th.
Semoga kita bisa merdeka dari pandemi ini.
Dan sehat selalu untuk Yth, Bapak Anies Baswedan.",0
Tetap semangat korupsi jamaahnya boss ku,0
Semangat pk Anies. Smg indonesia dpt  pemimpin yg amanah dan bener2 pro rakyat kecil. Aamiin. Derrahayu negri ku. Smg. Yaya  kedepatnya untuk anak cucu.kita. Aamiin. ????????????,0
Merdeka Sehat selalu pak anies,0
"Merdeka!, sehat selalu Pak Anies, Aamiin",0
"semoga bapak selalu sehat amin,Salam dari lombok",0
Merdeka indonesia tangguh indonesia tumbuh,0
"Maaf pak Anies,mohon di tinjau pak dinas P4OP, yang selalu mengulur2 waktu pencairan dana KJP sehat selalu buat Bapk dan keluarga,aamiin",0
"Mungkin bapak tdk sadar jika kami di daerah ikut intruksi bapak walau tak resmi.
Inyaallah kami bisa...

Salam cinta pak dari maluku


Bismillah...
Jakarta pasti bisa
Allahu Akbar.!!!!",0
Sehat selalu pa Anis... Rakyat Indonesia membutuhkan seorang pemimpin seperti anda bukan bosnya si abu randa,0
Sehat selalu Pak Gub ?keep strong Indonesia ???? salam hangat dari Australia ????,0
"Semoga Allah selalu lindungi pak gubernur, tetap semangat bekerja dan tetap amanah. Allahu Akbar",0
Sabar ya pak....intix bpk sllu sopan mnegur dan tdk maki2 org...lwpun marah pak anies ttp msh sopan,0
"Alhamdulillah semoga pak.Anies baswedan selalu dalam lindungan Alloh swt dan dapat melaksanakan tugasnya dengan baik dan sukses , semoga Alloh segera menghilangkan wabah Covid 19 dari NKRI",0
Semoga Alloh mudahkan urusan pak Anis dalam mengatasi pandemi ini.bismillah,0
"keteladan mempercepat penanganan, inshaAllah",0
Sehat selalu pak Anies...anda selalu 1 langkah lebih cepat daripada pemerintah pusat,0
Masyaallah..pak anis...ttp semagat pak...semoga  keadaan bisa d atasi...Aamin ..,0
"Semoga Bung Anies Baswedan, Keluarga besar beliau & seluruh Rakyat yg Pro Revolusi Akhlaq, sehat selalu tambah rezeki dan barokah, Aamiin......?????.",0
Sehat selalu pak anis. Utk meningkatkan kepahaman kami maka mohon dapat disamapaikan info post marketing evaluation yg sdh dimulai 6 bulan ini.,0
Pak anies yg terhormat tolong sidak ke mabes polri sy dengar ktnya di rutan mabes polri byk yg terpapar covid 19 bahkan ada yg meninggal tahanan nya dua org... kami mohon perhatian kpd bpk .. karena di dalam rutan mabes polri ada imam besar kami HRS dkk... tolong ya pak.. perhatikan jg keselamatan HRS dkk.. di rutan mabes polri.. karena para pengacara dan keluarga tdk di ijinkan masuk.. mungkin klo bpk bisa masuk dan punya akses.. ke sana.. terima ksh pak sebelum nya..,0
Semoga pak Anies Baswedan selalu dilindungi Allah Subhanahu Wa Ta'ala dan semua kaum muslimin muslimah di seluruh Indonesia dijauhkan dari serangan virus yang mematikan Amin ya robbal alamin....,0
Sementara pusat membiarkan TKA Cina masuk Indonesia di saat PPKM. Mirisssss......,0
Semoga Allah jaga Pak Anis para pemimpin yang amanah.,0
"Masih banyak pak, kantor2 yg tidak memberlakukan WFH.",0
Semoga pak Anis slalu di berikan kesehatan oleh Allah SWT,0
Semoga Allah SWT melindungi pemimpin kami... aamiin,0
"Semoga Allah menjaga dan melindungi anda dan keluarga, pak",0
Teruskan pak anis berjuang untuk melindungi kami ?,0
"Semoga bisa cepat teratasi dgn kesadaran semua,, sukses selalu untuk gubernur Indonesia kita PK Anis Baswedan",0
Semoga bapak dan kita semua selalu dalam lindungan Allah  aamiin sehat selalu bapak Anis Baswedan salam dari Bantul yogyakarta,0
Semoga pa Anies Baswedan selalu diberikan kemudahan dan selalu dilindungi Allah SWT dalam bertugas. Aamiin Allahumma Aamiin,0
"Pak Presiden Anies, kantor MNC di kebun sirih disidak sekali2 Pak, parkir penuh dan 1 lantai ada yg kena puluhan orang, sisanya yg negatif tetap disuruh masuk..saya dapat info dari teman2 disana.. Valid",0
"Sehat selalu pa anis, smoga bapak slalu dlm lindungan allah swt..",0
"Sebenarnya banyak juga perusahaan esensial tapi karyawannya kerjanya bukan dibagian esensial tapi diwajibkan masuk oleh perusahaan. Seperti halnya perusahaan logistik termasuk esensial tapi kerjanya d perusahaan bukan hal kritikal sebagai janitor, legal, audit dan lain-lain yg diwajibkan masuk",0
"Doa buat smua, tuk warga Jakarta, smoga Allah sll melindungi kita smua dr wabah covid ini aamiin Allahumma aamiin. Sehat2 sll pak Gub, smoga kebijakn yg diambil, diberikan kelancaran dan kebaikan untuk semua masyrakat Indonesia aamiin Allahumma aamiin",0
Salam hangat.dari Bali pak .Anies Baswedan semoga sehat sabar dan tetap  menjalankan tugas kondisi serba sulit ...delima kondisi copid ppkm....semoga.cepat berlalu...,0
Pak pake masker 2lapis apa masih masuk oksigennya?,0
"Lanjutkan Pak, Semoga DKI segera zona hijau",0
Tetap sehat pak anies supaya bs mempertanggung jawabkan semua project gagal anda...,0
"Pak Anies Baswedan... Peminpin cerdas, amanah, santun dan bekerja nyata untuk rakyat.. Nggak pakek pencitraan, marah-marah atau nangis-nangis. . Tetap santun dalam berucap... Ramah dan dekat dengan rakyatnya..",0
"Sehat2 selalu pak Anies, Kel, jajaran pemprov DKI, dan kita semua warga Jakarta&Indonesia, kawal terus pak penerapan PPKM darurat, spy bs efektif menyelamatkan nyawa warga&menurunkan potensi penularan antar warga..Aamiin",0
Lihatlah yang butuh kerjaan pak untuk mencari makan kita bukan mencari untung atau rugi melainkan bisa makan atau tidak esok hari untuk istri dan anak saya dan keluarga saya kalau tidak kerja,0
"Pak Anies kapan bansos cair pak....ppkm sudah masuk h 5,mohon pak di cek kami warga sangt membutuhkannya,terimaks",0
Salut dg pak Anis yg tegas tp santun.... sy dukung pak Gubernur is the best pokoke pak Anis maju terus....ttp semangat pak Allah sll melindungi bpk Aamii....,0
"Pak Anies minta tolong perusahan  buat event acara kerumunan sejak ppkm, sudah beberapa staff meniggal karena corona Pak. Mohon Pak Anies banyak perusahaan nakal tidka mentaati pemerintah Pak Anies",0
"Bener pak,..sidak aja pak, rata2 kepalanya orang asing yg kemarin dateng tuh pak ke indonesia,..sehat trus Pak Anies,..semoga selalu dalam lindungan Allah dan jadilah pemimpin amanah karena semua pertanggung jawaban di akhirat akan sangat berat dan dunia ini fana, jangan sampai bapak terlena, semoga Allah selalu jaga hati bapak untuk tetap bersih dan jujur",0
Pak Anies yg terhormat sy lht koperasi byk yg buka dan menagih pedagang dgn memaksa pdhl mrka di masa pandemi byk yg hrs ttp krna sepi..tp mrka ttp memaksa n sering trjdi keributan bahkan ad yg mengancam..,0
Saya doakan pk anies jauh dr situasi pemerintahan jerman kala pandemi flu babi.,0
"Apa yg dikerjakan ganjar hanya bagi2 uang dan hal2 kecil lainnya (cari simpati gaya jokowi), tapi thd PENJUALAN MURAH  sumber daya alam ke cina dan  PELEMAHAN KPK apa yg dikatakannya ??  TIDAK ADA (hati2 dgn lembaga survei & buzzer yg disupport konlomerat hitam)",0
Alhamdulillah cuman cerita ajah...kirain ada rekaman sidaknya trus marah2in org didpn kamera,0
"Bansosssss kpn cair pak....tolng disegerakan,kjp ank2 juga makin kesini tanggal pencairannya makin lama,kenapa bisa begini PAK????dulu2 selalu tepat waktu,makin kesini makin lama,bahkan g serempak SD.SMP.SMK slalu bareng,tolng PAK ANIES DENGARKAN SUARA RAKYAT SAYA YAKIN PAK ANIES ORANG BIJAK,TOLONG PAK TINJAU KEBAWAH",0
Bapak Anies yg terhormat sya warga Jakarta LG kesusahan di Jawa tengah ank saya umur 4 bln masuk ruang ICU kemaren tgl 15 Juni sya mengajukan mutasi berkas untk proses ke kntr BPJs tp smpe skrng blm ad respon dr pusat nya pa tlng bantu saya pa.saya orng ga punya sya orng ga mampu pa ruang ICU 1 harinya 3jt it diluar obt dan dokter tlng sya pa ank saya di rawat di rmh sakit Islam muhamadiyah Singkil kecamatan Adiwerna kabupaten tegal.mnta bantuannya pa biar bisa di proses secepat nya sblm jam 12 MLM in terimakah pa sblmnya,0
PAK ANIS SAYA KOS HIDUP DI JAKARTA INI KALO GINI TERUS BISA2 NGK BISA MKAN TOLONG BERI BANTUAN,0
"Gila ga sangka deni sumargo yang di bilang pembasket ga ada duwit..ternyata pengusaha juga 
Banyak yang madnag rendah..tapi aku lihat podcas deni..dia bener2 pinter dlm komunikasi",0
Keren bang...mudah2an bisa mengikuti jejak nya,0
"Jangan Pernah Merasa Puas Karena, diatas Langit Masih Ada Lagi Langit, dan Langit Tidak Pernah Memberitahu Seberapa Tingginya Dia ?",0
"Santay aja bang densu, Zach Lavine akan bawa lebih tinggi lgi",0
"Suka banget sama channel mas Sandi yg selalu update ginian. Buat tim kreator nya, salam hangat ya, dari istrinya penyanyi lagu ",0
Semoga pak Sandiaga Uno menjadi presiden RI untuk kedepannya,0
"orang orang sukses dg Hobby Olahraga yg sama sukses terus Bang Sandi n Bang Densu ,,",0
"Dahsyat bang DenSu
Trimakasih ilmunya Bang Sandi with DenSu",0
yg ini ok banget mngajak memotivasi n mengedukasi melenial mencintai olahraga khususnya basket... Bung Sandi lain efisode olahraga lainnya sprti sepakbola bukutangkis atau yg lainnya Bravo  SandiunoTV,0
"Pertama tau densu tuh maen MTMA bareng nadine sama hamish, itu keren",0
"Ini keren, kolaborasi Bang Sandi dan ""bapaknya"" Ahok",0
Dua laki2 hebat plus ganteng menebar ilmu buat kita semua..,0
"kayaknya bakal lebi seru, kalo bahasan soal usahanya Denny Sumargo dikupas lebih dalam deh",0
Pap sandi kece... Jgn pntang menyerah untuk jd presiden kmi pendukung mu dr pontianak.,0
"Kereeeeennnn... Ank sy jg pemain basket, smg bisa sehebat bang Sandi dan densu",0
"basket bagi saya adalah awal dari masa depan seseorang, karena dibasket org belajar memotivasi diri sendiri dgn perjuangan",0
"Ke channel ini gara2 liat ada pebasket sombong, dan baru sadar Pak Sandi orangnya humble. Respect buat Pak Sandi (maaf baru sekarang)",0
mantap bang semoga sukses selalu,0
"Channel yutub Podcast Ruang Sandi dan Sandiuno TV bedanya apa pak ?? Kenapa tidak dijadikan 1 channel dg program yg berbeda, jadinya lebih fokus. View dan subscribe juga totalnya bisa lebih banyak.",0
The Best Pak Sandi Uno...sehat & sukses terus Aamiin YRA,0
"mas deny dan mas sandy,anda berdua termasuk orang yg cukup beruntung,dgn proses hidup yg berbeda",0
Mas Sandi rajin olah raga semoga slalu sehat sukses .aku menunggu semoga jd lah presiden yg amanah aku dukung lho mas Sandi.,0
"Daripada Menpora ama wakil, mending Bang Sandi presiden nya Densu menpora nya. Seems like Indonesia Sports will be progressive, Aamiin!",0
"mudah2an sehat selalu bang sandi idolaku..
Doakan chanel uoutube pemula saya mudah2an bisa cepat dapt viewer banyak kayak bang sandi",0
Papa online selalu kereeeen....,0
Semoga menjadi menteri yg Amanah. Beratnya  punya Amanah yg banyak dan menyenangkan. Semoga tetap Istiqomah menjadi Muslim yg Soleh.,0
"Pak sandi sgt menginsipirasi , pengen bgt dpet buku giveaway dari webinar 6 pak",0
Mantap bobon santoso main basket wkkwkwk,0
"Pengen lah jadi seperti itu.. keren euy..
Salam kenal semua",0
"Diatas langit masih ada langit dan langit tak pernah memberi tahu seberapa tingginya dia..
#pebasketsombong2020",0
Selamat telah terpilih sebagai Menteri Pariwisata dan Ekonomi Kreatif. Meski bukan yg diharapkan oleh Deni Sumargo menteri olahraga,0
Semoga ketidakraguannya membuka jumlah pendapatannya sebanding dengan jumlah pelaporan pajaknya. Fenomena public figure menampilkan isi rekening dan asetnya memudahkan Direktorat Jendral Pajak memonitor pelaporan pajaknya. Tetap produktif dan terus berkontribusi.,0
"Celetukan bang Densu supaya pak Sandi jadi menteri olahraga ternyata sekarang jadinya Menteri Pariwisata,,",0
"Wah, dia bukan cuman SOMBONG. TAPI DIA JGA SANGAT PINTAR..",0
"i love basket very must. 
sehat selalu mas Sandi Uno.
sukses terus buat ya buat kalian berdua",0
Kerennn gua di usia 40 tahun sebulan itu lebih dr 15 milyar ....tpi ngimpi gua bang...doain qt ya bang uno...biar jdi kenyataan biar bisa beliin beras dll wt fhukoro,0
Konten bagus gini.. Kok yg nonton dikit.. Nontooon wooi!!,0
Maaantap pak sandi..semoga sht sllu,0
SALAM SEHAT DAN SUKSES MAS SANDI,0
"Mas Sandi jgn jd mentri olahraga dong, jadi presiden atau min wakil presiden, agar bisa membenahi prestasi olahraga diindonesia secara keseluruhan",0
Udah takdir..banyak juga orang sukses di indonesia mereka punya jalan masing2 tuk meraih sukses.,0
"Pak coba 2024 mengajukan diri capres. Dimohon untuk tidak ada kepentingan lain. Selain membangun negeri ini. Saya yakin banyak yg memilih bapak, selain diri saya.",0
