,Komen,Klasifikasi,kategori_id
25,"['lalu', 'biar', 'lalu', 'masa', 'lalu', 'tidak', 'bisa', 'ubah', 'masa', 'depan', 'tidak', 'tahu', 'jadi', 'masa', 'lalu', 'ajar', 'masa', 'depan', 'lebih', 'baik']",no cyberharassment,0
26,"['komentar', 'nya', 'rata', 'rata', 'ngejelekin', 'tidak', 'boleh', 'gitu', 'semua', 'semangat', 'kak', 'gisel']",no cyberharassment,0
27,"['pengin', 'nanya', 'orang', 'komentar', 'netizen', 'sih', 'lalu', 'biar', 'lalu', 'aib', 'mesti', 'bahas', 'terus', 'kayak', 'paling', 'suci']",no cyberharassment,0
28,"['tahu', 'lebih', 'suka', 'tangis', 'taubat', 'nya', 'dosa', 'lantun', 'tasbih', 'orang', 'sombong', 'munafik', 'biar', 'lah', 'sudah']",no cyberharassment,0
29,"['sehat', 'selalu', 'kakak', 'gisel', 'semua', 'manusia', 'tidak', 'sempurna', 'bisa', 'laku', 'salah', 'bentuk', 'apa', 'moga', 'ajar', 'salah', 'jadi', 'lebih', 'baik']",no cyberharassment,0
30,"['gisel', 'buat', 'aku', 'sih', 'tidak', 'jadi', 'masalah', 'kamu', 'apa', 'buat', 'depan', 'nya', 'moga', 'lebih', 'baik']",no cyberharassment,0
31,"['baju', 'nya', 'bagus', 'banget', 'beli', 'semangat']",no cyberharassment,0
32,"['aku', 'tidak', 'terlalu', 'peduli', 'hidup', 'orang', 'sangkut', 'pribadi', 'tetap', 'semangat', 'kak']",no cyberharassment,0
33,"['kasihan', 'masa', 'depan', 'anak', 'nya', 'ayo', 'dukung', 'buat', 'depan', 'lebih', 'baik']",no cyberharassment,0
34,"['buat', 'kak', 'gisel', 'jangan', 'dengar', 'apa', 'hujat', 'netizen', 'tetap', 'semangat', 'jadi', 'pribadi', 'lebih', 'baik']",no cyberharassment,0
35,"['tidak', 'munafik', 'tidak', 'manusia', 'sempurna', 'atas', 'bumi', 'manusia', 'punya', 'salah', 'khilaf', 'sisi', 'baik', 'nya']",no cyberharassment,0
36,"['lepas', 'kasus', 'aku', 'idola', 'ibu', 'baik', 'anak']",no cyberharassment,0
37,"['pernah', 'ketemu', 'kak', 'gisel', 'bandara', 'asli', 'putih', 'cantik', 'banget']",no cyberharassment,0
38,"['jangan', 'semua', 'manusia', 'punya', 'salah', 'coba', 'kalian', 'jadi', 'tidak', 'bakal', 'sanggup']",no cyberharassment,0
39,"['henti', 'hujat', 'gisel', 'semu', 'orang', 'punya', 'salah', 'masa', 'lalu', 'manusia', 'tempat', 'nya', 'salah', 'lebih', 'baik', 'baik', 'diri', 'masing', 'masing']",no cyberharassment,0
40,"['kakak', 'gisel', 'mau', 'dong', 'baju', 'nya', 'aku', 'suka', 'kalau', 'kakak', 'gisel', 'mau', 'ngasih', 'minta', 'alamat', 'aku']",no cyberharassment,0
41,"['lah', 'saudara', 'semua', 'orang', 'punya', 'salah', 'kasihan', 'jangan', 'terlalu', 'ungkit', 'ungkit', 'lalu', 'biar', 'lalu']",no cyberharassment,0
42,"['lalu', 'biar', 'lalu', 'lupa', 'jangan', 'ungkit', 'siapa', 'tahu', 'ubah', 'jadi', 'baik', 'baik']",no cyberharassment,0
43,"['komennya', 'apa', 'sih', 'bisa', 'harga', 'rasa', 'tidak', 'sih', 'kasus', 'sudah', 'lama', 'tidak', 'usah', 'ungkit', 'kayak', 'bocah', 'kamu', 'kalau', 'kamu', 'digituin', 'emang', 'mau', 'tidak']",no cyberharassment,0
44,"['suka', 'ungkit', 'ungkit', 'moga', 'jadi', 'kayak', 'gisel', 'kemarin', 'tidak', 'turun', 'keluarga', 'kalian', 'sendiri']",no cyberharassment,0
45,"['kuat', 'banget', 'mental']",no cyberharassment,0
46,"['baju', 'bagus', 'banget', 'pengin', 'kayak', 'buat', 'dalam', 'rumah', 'sih', 'warna', 'hitam', 'lebih', 'keren', 'kayak']",no cyberharassment,0
47,"['terus', 'karya', 'gisel', 'orang', 'punya', 'masa', 'lalu']",no cyberharassment,0
48,"['saling', 'harga', 'bukan', 'hujat', 'sudah', 'lalu', 'biar', 'lalu', 'jangan', 'ungkit']",no cyberharassment,0
49,"['kasihan', 'jangan', 'hujat', 'mending', 'baik', 'masing']",no cyberharassment,0
50,"['gisel', 'tetap', 'semangat', 'iya', 'semua', 'orang', 'punya', 'masa', 'lalu', 'kelam', 'jangan', 'buat', 'jatuh', 'tetap', 'semangat']",no cyberharassment,0
51,"['semua', 'orang', 'punya', 'masa', 'lalu', 'kelam', 'sudah', 'bagus', 'bisa', 'bangkit', 'rubah']",no cyberharassment,0
52,"['kalau', 'kalian', 'ingat', 'cukup', 'diam', 'dalam', 'hati', 'jempol', 'tidak', 'usah', 'gatal', 'rasa', 'paling', 'suci', 'kalian']",no cyberharassment,0
53,"['sekarang', 'dinar', 'beda', 'lebih', 'cantik', 'gitu']",no cyberharassment,0
54,"['aku', 'jadi', 'ingat', 'ceramah', 'kata', 'biar', 'ahli', 'ibadah', 'atau', 'ustad', 'kata', 'susah', 'masuk', 'surga', 'kalau', 'anak', 'umbar', 'aurat', 'entah', 'apa', 'betul', 'semua']",no cyberharassment,0
55,"['dulu', 'ibu', 'kalau', 'pernah', 'bilang', 'cara', 'pakai', 'kamu', 'tentu', 'besar', 'apa', 'cinta', 'kamu', 'sama', 'bapak', 'kamu']",no cyberharassment,0
56,"['cahya', 'biar', 'gaya', 'apa', 'tetap', 'cantik', 'natural']",no cyberharassment,0
57,"['pernah', 'ketemu', 'kakak', 'dinar', 'paragon', 'sarang', 'aku', 'sama', 'teman', 'empat', 'panggil', 'mau', 'gabung', 'dong', 'sama', 'baik', 'banget']",no cyberharassment,0
58,"['gemas', 'banget', 'lah', 'kakak', 'satu', 'sehat', 'selalu', 'kakak']",no cyberharassment,0
59,"['kak', 'aku', 'bal', 'aku', 'suka', 'suara', 'kakak', 'semangat', 'kak']",no cyberharassment,0
60,"['sumpah', 'kakak', 'aku', 'gemar', 'banget', 'sama', 'kakak']",no cyberharassment,0
61,"['cantik', 'banget', 'sih', 'cici', 'denis']",no cyberharassment,0
62,"['benar', 'cakap']",no cyberharassment,0
63,"['sumpah', 'lucu', 'banget']",no cyberharassment,0
64,"['denis', 'mau', 'pakai', 'baju', 'apa', 'tetap', 'cantik', 'dasar', 'sudah', 'cakap']",no cyberharassment,0
65,"['kamu', 'sudah', 'datang', 'bal', 'ekonomi', 'cepat', 'bangkit']",no cyberharassment,0
66,"['denis', 'benar', 'baik', 'hati', 'cantik', 'cerdas', 'semangat', 'kakak', 'denis']",no cyberharassment,0
67,"['cup', 'benar', 'cantik', 'banget', 'coba', 'tutup', 'sedikit', 'cantik', 'biar', 'cantik', 'kamu', 'makin', 'sempurna']",no cyberharassment,0
68,"['entah', 'dulu', 'ngefans', 'banget', 'sama', 'kakak', 'cup']",no cyberharassment,0
69,"['sukses', 'terus', 'kak', 'cup', 'salam', 'lampung', 'kak']",no cyberharassment,0
70,"['wow', 'sempurna', 'cantik']",no cyberharassment,0
71,"['andai', 'kayak', 'raya']",no cyberharassment,0
72,"['cantik', 'sih', 'sudah', 'tidak', 'lihat', 'cantik', 'terlalu', 'buka', 'kalau', 'pengin', 'nikah', 'lah', 'kakak', 'tidak', 'usah', 'pamerin', 'terus', 'malu', 'sedikit', 'dong', 'perempuan']",no cyberharassment,0
73,"['pengin', 'siapa', 'sama', 'kakak', 'cantik']",no cyberharassment,0
74,"['jaga', 'mata', 'kalian']",no cyberharassment,0
75,"['mantap', 'betul']",no cyberharassment,0
76,"['aku', 'pernah', 'ketemu', 'sopan', 'kok', 'orang', 'baik', 'tegur', 'aku', 'sekarang', 'jadi', 'kenal', 'belum', 'kenal', 'sudah', 'baik', 'cantik']",no cyberharassment,0
77,"['kakak', 'cupita', 'cantik', 'banget', 'kayak', 'orang', 'getik', 'sama', 'kayak', 'kakak', 'cupita']",no cyberharassment,0
78,"['kakak', 'cantik', 'lebih', 'cantik', 'kalau', 'kakak', 'tutup', 'aurat', 'kakak']",no cyberharassment,0
79,"['makin', 'cantik', 'kakak']",no cyberharassment,0
80,"['keren', 'cantik']",no cyberharassment,0
81,"['aku', 'suka', 'gaya']",no cyberharassment,0
82,"['mantap', 'jiwa']",no cyberharassment,0
83,['keren'],no cyberharassment,0
84,"['hallo', 'kakak', 'cupita']",no cyberharassment,0
85,"['assalamualaikum', 'kak', 'boleh', 'kenal', 'jadi', 'teman', 'kamu']",no cyberharassment,0
86,"['jaga', 'sedikit', 'etika']",no cyberharassment,0
88,"['lebih', 'tidak', 'baik']",no cyberharassment,0
89,"['moga', 'sukses', 'sehat', 'selalu', 'kak', 'cup']",no cyberharassment,0
90,"['moga', 'sukses', 'selalu', 'lama']",no cyberharassment,0
91,"['ngefans', 'banget']",no cyberharassment,0
92,"['suka', 'sama', 'kakak', 'cup', 'walaupun', 'banyak', 'netizen', 'rese', 'cantik']",no cyberharassment,0
93,"['aku', 'suka', 'lihat', 'cimoy', 'keren']",no cyberharassment,0
94,"['nyata', 'benar', 'lebih', 'tidak', 'baik', 'duit']",no cyberharassment,0
95,"['cimoy', 'kok', 'sekarang', 'kayak', 'dulu', 'tutup', 'aurat', 'nya', 'sekarang', 'lepas']",no cyberharassment,0
96,"['salam', 'ingat', 'cantik', 'sudah', 'usaha', 'letak', 'derajat', 'perempuan', 'setinggi', 'jangan', 'senang', 'jatuh', 'moga', 'beristiqomah']",no cyberharassment,0
97,"['emang', 'kakak', 'cantik', 'tidak', 'se', 'kayak', 'nagita', 'kakak', 'cantik', 'selalu', 'tampil', 'apa', 'ada', 'tidak', 'pernah', 'pamer', 'mewah', 'kakak', 'cantik']",no cyberharassment,0
98,"['sehat', 'terus', 'idola', 'kakak']",no cyberharassment,0
99,"['aku', 'tidak', 'peduli', 'cantik', 'memang', 'sangat', 'cantik']",no cyberharassment,0
100,"['semangat', 'cantik', 'moga', 'damping', 'baik', 'lebih', 'rafi', 'tidak', 'kait', 'terus', 'sama', 'nagita', 'ravi']",no cyberharassment,0
101,"['juang', 'nol', 'aku', 'bangga', 'juang', 'hasil', 'keringat', 'sendiri', 'semangat', 'att', 'cantik']",no cyberharassment,0
102,"['cantik', 'cantik', 'emang', 'kayak', 'tahu', 'lah']",no cyberharassment,0
103,"['cantik', 'nyaris', 'hampir', 'tidak', 'peduli', 'semua', 'hujat', 'netizen', 'untuk', 'nyenggol', 'anak', 'keluarga', 'wanita', 'kuat', 'jatuh', 'bangun', 'semangat']",no cyberharassment,0
104,"['astagfirullah', 'apa', 'untung', 'sih', 'kalian', 'hina', 'att', 'junjung', 'tinggi', 'keluarga', 'andara', 'kasih', 'apa', 'sama', 'tidak', 'komentar', 'adem']",no cyberharassment,0
105,"['cantik', 'kalau', 'joget', 'selalu', 'kalau', 'buat', 'tiktok', 'selalu', 'totalitas', 'kalau', 'aku', 'tidak', 'tahu', 'kalian']",no cyberharassment,0
106,"['bukan', 'gemar', 'cantik', 'nagita', 'cuma', 'miris', 'lihat', 'komenan', 'netizen', 'maha', 'benar', 'segala', 'benar', 'banding', 'cantik', 'nagita', 'padahal', 'sudah', 'jelas']",no cyberharassment,0
107,"['cantik', 'banget', 'perempuan', 'tangguh', 'talenta', 'besar', 'prestasi']",no cyberharassment,0
108,"['orang', 'punya', 'nasib', 'takdir', 'sendiri', 'harus', 'banding', 'satu', 'sama']",no cyberharassment,0
109,"['att', 'orang', 'sukses', 'mulai', 'nol', 'juang', 'keluarga', 'bukan', 'harta', 'orang', 'tua']",no cyberharassment,0
110,"['sehat', 'terus', 'kak', 'cantik', 'bisa', 'nya', 'aku', 'gemar', 'banget', 'sama', 'kakak', 'cantik', 'sudah', 'untuk', 'kalian', 'tidak', 'suka', 'cukup', 'lewat', 'kamu', 'bangga', 'belah', 'apa', 'kamu', 'kakak']",no cyberharassment,0
111,"['mau', 'gaya', 'gimana', 'pakai', 'baju', 'apa', 'kak', 'cantik', 'tetap', 'cantik', 'tidak', 'debat']",no cyberharassment,0
112,"['salut', 'sama', 'cantik', 'sukses', 'hasil', 'kerja', 'keras', 'mulai', 'nol', 'jaga', 'anak', 'tetap', 'keluarga', 'asuh', 'tidak', 'pakai', 'bayi']",no cyberharassment,0
113,"['cantik', 'memang', 'cantik', 'sana', 'nya', 'tambah', 'pakai', 'up', 'natural']",no cyberharassment,0
114,"['masa', 'lalu', 'hampir', 'sama', 'semangat', 'kerja', 'keras', 'sama', 'nasib', 'cinta', 'hampir', 'sama', 'beda', 'cuma', 'dompet', 'att', 'buat', 'kulit', 'buaya', 'asli', 'dompet', 'aku', 'kulit', 'mantan']",no cyberharassment,0
115,"['abang', 'buat', 'salur', 'dikelula', 'serius', 'profesional', 'kenal', 'youtube', 'maaf', 'abang', 'saran', 'harus', 'segera']",no cyberharassment,0
116,"['moga', 'selalu', 'dalam', 'lindung']",no cyberharassment,0
117,"['salam', 'bekas', 'pak', 'moga', 'selalu', 'dalam', 'lindung']",no cyberharassment,0
118,"['assalamualaikum', 'pak', 'kartu', 'jakarta', 'pintar', 'tambah', 'tahap', 'belum', 'keluar', 'padahal', 'sangat', 'butuh', 'buat', 'beli', 'buku', 'terima', 'kasih']",no cyberharassment,0
119,"['apresiasi', 'gugat', 'jadi', 'duta', 'kampanye', 'udara', 'bersih', 'pak']",no cyberharassment,0
120,"['gubernur', 'logika', 'sangat', 'bagus']",no cyberharassment,0
121,"['allahuakbar', 'bapak', 'gubernur', 'tetap', 'amanah', 'istiqomah', 'mudah', 'bapak', 'tetap', 'dalam', 'lindung', 'senantiasa', 'lindung', 'warga']",no cyberharassment,0
122,"['warga', 'harus', 'wajib', 'ikut', 'misal', 'kalau', 'motor', 'sudah', 'ngobos', 'sudah', 'low', 'compression', 'buru', 'buru', 'sudah', 'servis', 'jangan', 'dipaksain', 'nambah', 'nambah', 'polusi']",no cyberharassment,0
123,"['pak', 'pimpin', 'cerdas', 'amanah', 'santun', 'kerja', 'nyata', 'rakyat', 'tidak', 'pakai', 'citra', 'marah', 'marah', 'nangis', 'nangis', 'tetap', 'santun', 'dalam', 'ucap', 'ramah', 'dekat', 'rakyat']",no cyberharassment,0
124,"['keren', 'begini', 'pimpin', 'keren', 'tanggap', 'kritik', 'berani']",no cyberharassment,0
125,"['assalamualaikum', 'pak', 'gimana', 'cara', 'bantu', 'betul', 'rumah', 'hampir', 'roboh', 'asli']",no cyberharassment,0
126,"['sabar', 'hadap', 'semua', 'nya', 'hasil', 'cita', 'cita', 'semua']",no cyberharassment,0
127,"['pak', 'dong', 'pluit', 'banjir', 'kapan', 'mau', 'tanggulangin']",no cyberharassment,0
128,"['terima', 'kasih', 'pak', 'gubernur', 'aku', 'putri', 'lahir', 'jakarta']",no cyberharassment,0
129,"['baik', 'tuan', 'sama', 'lestari', 'bumi', 'sama', 'salam', 'malaysia']",no cyberharassment,0
130,"['beda', 'kalau', 'mantan', 'aktivis', 'jadi', 'jabat', 'baik']",no cyberharassment,0
131,"['pak', 'gubernur', 'dukung', 'jadi', 'presiden', 'tahun']",no cyberharassment,0
132,"['harus', 'siap', 'naik', 'kendara', 'umum', 'naik', 'kendara', 'pribadi', 'mesin', 'bahan', 'bakar', 'minyak']",no cyberharassment,0
133,"['subahanallah', 'dengar', 'bapak', 'pidato', 'rasa', 'bapak', 'emang', 'pimpin', 'tulus', 'dalam', 'urus', 'jakarta', 'serta', 'warga', 'nya', 'rasa', 'sedih', 'rugi', 'besar', 'jakarta', 'warga', 'nya', 'bapak', 'harus', 'bentur', 'tidak', 'jadi', 'gubernur', 'mau', 'nangis']",no cyberharassment,0
134,"['salah', 'satu', 'kontribusi', 'bakar', 'sampah', 'bau', 'sampah', 'sangat', 'dominan', 'punya', 'solusi', 'sampah', 'tidak', 'bakar', 'tidak', 'bau', 'bioteknologi', 'fermentasi', 'hasil', 'temu', 'putra', 'bangsa', 'sollusi', 'sebut']",no cyberharassment,0
135,"['sebar', 'polusi', 'udara', 'tukang', 'sate', 'sama', 'ayam', 'bakar']",no cyberharassment,0
136,"['jadi', 'baik', 'putus', 'adil', 'masa', 'depan', 'harus', 'lebih', 'jaga', 'lingkung', 'moga', 'kota', 'lingkung', 'alam', 'polusi', 'harus', 'somasi', 'betul', 'ajar', 'kota', 'lain', 'indonedia']",no cyberharassment,0
137,"['sungguh', 'bijaksana', 'tidak', 'salah', 'atas', 'gugat']",no cyberharassment,0
138,"['luar', 'biasa', 'sangat', 'inspiratif', 'moga', 'niat', 'baik', 'jadi', 'angin', 'segar', 'banyak', 'orang', 'salam', 'sehat', 'jaya', 'selalu', 'pak']",no cyberharassment,0
139,"['assalamualaikum', 'izin', 'pak', 'doa', 'selamat', 'bapak', 'aku', 'tidak', 'mau', 'bapak', 'gebenur', 'celaka', 'moga', 'bapak', 'beri', 'sehat', 'lindung', 'oleh', 'teguh', 'pak', 'jadi', 'gubernur', 'jakarta', 'sangat', 'berat', 'tantang', 'moga', 'jakarta', 'jadi', 'orang', 'dulu', 'bisa', 'tahu', 'mana', 'salah', 'mana', 'benar', 'aku', 'doa', 'bapak', 'bin', 'adam', 'bapak', 'sehat', 'sukses', 'selalu', 'buat', 'bapak', 'aku', 'cinta', 'kamu', 'pak', 'aku', 'orang', 'palembang', 'bisa', 'bahasa', 'jakarta', 'doa', 'bapak']",no cyberharassment,0
140,"['moga', 'pak', 'beri', 'tunjuk', 'ambil', 'momentum', 'menang', 'bangsa', 'indonesia', 'jadi', 'merdeka', 'sungguh']",no cyberharassment,0
141,"['sehat', 'bahagia', 'selalu', 'pak', 'gubernur']",no cyberharassment,0
142,"['allahu', 'akbar', 'tahun', 'republik', 'indonesia', 'indonesia', 'tangguh', 'indonesia', 'tumbuh', 'indonesia', 'maju', 'semangat', 'pandemi', 'covid', 'segera', 'usai', 'cepat', 'lalu', 'ekonomi', 'pulih', 'stabil']",no cyberharassment,0
143,"['alaikumussalam', 'moga', 'sehat', 'selalu', 'dalam', 'lindung']",no cyberharassment,0
144,"['masya', 'gelar', 'adil', 'sosial', 'sejahtera', 'bangsa', 'indonesia']",no cyberharassment,0
145,"['assalamualaikum', 'maaf', 'pak', 'gubenur', 'salah', 'satu', 'warga', 'kota', 'depok', 'tanya', 'soal', 'kapan', 'laku', 'normalisasi', 'sungai', 'ciliwung', 'kota', 'depok', 'pak', 'gubenur', 'rumah', 'sekitar', 'dekat', 'alir', 'sungai', 'ciliwung', 'pak', 'gubenur', 'sangat', 'curam', 'turun', 'air', 'hujan', 'akibat', 'banjir', 'besar', 'suka', 'dengar', 'suara', 'pak', 'hujan', 'turun', 'tetangga', 'paling', 'dekat', 'sungai', 'suka', 'keluar', 'rumah', 'jaga', 'jaga', 'takut', 'air', 'hujan', 'banjir', 'bisa', 'dampak', 'lereng', 'muka', 'tanah', 'pinggir', 'akibat', 'deras', 'hujan', 'bisa', 'akibat', 'longsor', 'musibah', 'warga', 'takut', 'korban', 'jiwa', 'pak', 'gubernur', 'segera', 'beri', 'perintah', 'kepala', 'daerah', 'segera', 'laku', 'normalisasi', 'sungai', 'ciliwung', 'pak', 'warga', 'dekat', 'rumah', 'sini', 'pindah', 'tempat', 'pulai', 'hidup', 'baru', 'usaha', 'normalisasi', 'laku', 'tahun', 'tahun', 'depan', 'sudah', 'siap', 'terima', 'pak', 'gubernur', 'mohon', 'maaf', 'salah', 'kata', 'dalam', 'ucap', 'pak', 'dalam', 'sampai', 'keluh', 'terima', 'kasih', 'assalamualaikum']",no cyberharassment,0
146,"['moga', 'selalu', 'beri', 'sehat', 'selamat', 'terus', 'buat', 'bapak']",no cyberharassment,0
147,"['hebat', 'pak', 'bukti', 'masyarakat', 'indonesia', 'khusus', 'masyarakat', 'jakarta', 'formula', 'penting', 'harus', 'tetap', 'laksana', 'jangan', 'takut', 'diinterflasi', 'dpr', 'katak', 'penting', 'formula', 'merdeka']",no cyberharassment,0
148,"['dirgahayu', 'republik', 'indonesia', 'moga', 'bisa', 'merdeka', 'pandemi', 'sehat', 'selalu', 'hormat', 'bapak']",no cyberharassment,0
149,"['tetap', 'semangat', 'korupsi', 'jamaah', 'aku']",no cyberharassment,0
150,"['semangat', 'bapak', 'moga', 'indonesia', 'pimpin', 'amanah', 'benar', 'tuju', 'rakyat', 'kecil', 'dirgahayu', 'negeri', 'aku', 'moga', 'yaya', 'depan', 'anak', 'susu']",no cyberharassment,0
151,"['merdeka', 'sehat', 'selalu', 'pak']",no cyberharassment,0
153,"['moga', 'bapak', 'selalu', 'sehat', 'salam', 'lombok']",no cyberharassment,0
154,"['merdeka', 'indonesia', 'tangguh', 'indonesia', 'tumbuh']",no cyberharassment,0
155,"['maaf', 'pak', 'mohon', 'tinjau', 'pak', 'dinas', 'bapak', 'selalu', 'ulur', 'waktu', 'cair', 'dana', 'kartu', 'jakarta', 'pintar', 'sehat', 'selalu', 'buat', 'bapak', 'keluarga']",no cyberharassment,0
156,"['mungkin', 'bapak', 'tidak', 'sadar', 'daerah', 'ikut', 'intruksi', 'bapak', 'tidak', 'resmi', 'insyaallah', 'bisa', 'salam', 'cinta', 'pak', 'malu', 'bismillah', 'jakarta', 'bisa', 'allahu', 'akbar']",no cyberharassment,0
157,"['sehat', 'selalu', 'pak', 'rakyat', 'indonesia', 'butuh', 'orang', 'pimpin', 'bukan', 'bos', 'sih', 'abu', 'randa']",no cyberharassment,0
158,"['sehat', 'selalu', 'pak', 'gub', 'simpan', 'kuat', 'indonesia', 'salam', 'hangat', 'australia']",no cyberharassment,0
159,"['moga', 'selalu', 'lindung', 'pak', 'gubernur', 'tetap', 'semangat', 'kerja', 'tetap', 'amanah', 'allahu', 'akbar']",no cyberharassment,0
160,"['sabar', 'pak', 'inti', 'bapak', 'selalu', 'sopan', 'tegur', 'tidak', 'maki', 'orang', 'walaupun', 'marah', 'pak', 'tetap', 'sopan']",no cyberharassment,0
161,"['alhamdulillah', 'moga', 'pak', 'selalu', 'dalam', 'lindung', 'laksana', 'tugas', 'baik', 'sukses', 'moga', 'segera', 'hilang', 'wabah', 'covid', 'nkri']",no cyberharassment,0
162,"['moga', 'mudah', 'urus', 'pak', 'dalam', 'atas', 'pandemi', 'bismillah']",no cyberharassment,0
163,"['teladan', 'cepat', 'tangan', 'insyaallah']",no cyberharassment,0
164,"['sehat', 'selalu', 'pak', 'selalu', 'langkah', 'lebih', 'cepat', 'perintah', 'pusat']",no cyberharassment,0
165,"['masyaallah', 'pak', 'tetap', 'semangat', 'pak', 'moga', 'ada', 'bisa', 'atas']",no cyberharassment,0
166,"['moga', 'bapak', 'keluarga', 'besar', 'beliau', 'seluruh', 'rakyat', 'tuju', 'revolusi', 'akhlak', 'sehat', 'selalu', 'tambah', 'rezeki', 'barokah']",no cyberharassment,0
167,"['sehat', 'selalu', 'pak', 'tingkat', 'paham', 'mohon', 'disamapaikan', 'info', 'unggah', 'pasar', 'evaluasi', 'sudah', 'mulai', 'bulan']",no cyberharassment,0
168,"['pak', 'hormat', 'sidak', 'mabes', 'polri', 'aku', 'dengar', 'kata', 'rutan', 'mabes', 'polri', 'banyak', 'papar', 'covid', 'bahkan', 'tinggal', 'tahan', 'nya', 'dua', 'orang', 'mohon', 'perhati', 'bapak', 'dalam', 'rutan', 'mabes', 'polri', 'imam', 'besar', 'harus', 'kawan', 'pak', 'perhati', 'selamat', 'harus', 'kawan', 'rutan', 'mabes', 'polri', 'acara', 'keluarga', 'tidak', 'izin', 'masuk', 'mungkin', 'kalau', 'bapak', 'bisa', 'masuk', 'punya', 'akses', 'sana', 'terima', 'kasih', 'pak', 'belum', 'nya']",no cyberharassment,0
169,"['moga', 'pak', 'selalu', 'lindung', 'ala', 'semua', 'kaum', 'muslimin', 'muslimah', 'seluruh', 'indonesia', 'jauh', 'serang', 'virus', 'mati']",no cyberharassment,0
170,"['pusat', 'biar', 'tka', 'cina', 'masuk', 'indonesia', 'miris']",no cyberharassment,0
